code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,symbol
HK.01024,N/A,2023-10-09 00:00:00,61.15,62.5,63.2,61.15,0.0,0.00122,5307805,331592137.0,0.9693053311793239,61.9,HK.01024
HK.01024,N/A,2023-10-10 00:00:00,63.4,63.9,65.1,63.25,0.0,0.00347,15109359,972787950.0,2.239999999999998,62.5,HK.01024
HK.01024,N/A,2023-10-11 00:00:00,65.1,64.35,65.4,63.2,0.0,0.00331,14405731,929032552.0,0.7042253521126693,63.9,HK.01024
HK.01024,N/A,2023-10-12 00:00:00,65.0,65.0,65.7,64.6,0.0,0.00375,16348983,1064052421.0,1.010101010101019,64.35,HK.01024
HK.01024,N/A,2023-10-13 00:00:00,63.15,63.4,65.0,63.05,0.0,0.00302,13135841,837041961.0,-2.4615384615384635,65.0,HK.01024
HK.01024,N/A,2023-10-16 00:00:00,63.1,62.45,63.8,61.8,0.0,0.00325,14135644,881029805.0,-1.4984227129337473,63.4,HK.01024
HK.01024,N/A,2023-10-17 00:00:00,63.35,61.55,63.45,61.0,0.0,0.004,17405300,1073056615.0,-1.4411529223378794,62.45,HK.01024
HK.01024,N/A,2023-10-18 00:00:00,61.05,56.05,61.55,55.75,0.0,0.00995,43349735,2493524510.0,-8.935824532900082,61.55,HK.01024
HK.01024,N/A,2023-10-19 00:00:00,55.5,56.1,57.55,54.8,0.0,0.00602,26202047,1474452371.0,0.08920606601249646,56.05,HK.01024
HK.01024,N/A,2023-10-20 00:00:00,55.5,56.55,57.25,55.3,0.0,0.00387,16838915,954962952.0,0.8021390374331475,56.1,HK.01024
HK.01024,N/A,2023-10-24 00:00:00,56.55,53.65,56.85,52.55,0.0,0.00692,30150569,1624446087.0,-5.128205128205126,56.55,HK.01024
HK.01024,N/A,2023-10-25 00:00:00,56.25,51.55,56.85,50.5,0.0,0.00975,42431094,2243180341.0,-3.9142590866728826,53.65,HK.01024
HK.01024,N/A,2023-10-26 00:00:00,51.55,52.15,53.15,50.8,0.0,0.00436,19002720,983663060.0,1.1639185257032036,51.55,HK.01024
HK.01024,N/A,2023-10-27 00:00:00,52.4,51.95,52.7,51.05,0.0,0.00417,18144562,941787103.0,-0.3835091083413149,52.15,HK.01024
